Age	Gender	Race	Continent	Sushi	Alligator	FrogLegs	Caviar	Fugu	Lutefisk
21	Female	White	Europe	1	0	0	1	0	0
27	Female	White	North America	1	0	0	0	0	0
22	Male	White	Europe	1	0	0	0	0	0
21	Female	White	Europe	1	0	0	1	0	1
25	Female	White	Europe	1	0	0	1	0	0
16	Male	White	North America	1	0	1	0	0	0
18	Male	White	Europe	0	0	0	0	0	0
17	Female	White	North America	1	1	1	0	0	0
16	Male	White	South America	1	0	0	1	0	0
28	Female	White	North America	1	1	0	1	0	0
30	Female	White	North America	0	1	0	1	0	0
33	Male	n/a	North America	1	1	0	1	0	0
25	Male	White	Europe	1	0	0	1	0	0
17	Male	White	Europe	1	0	0	0	0	0
18	Female	White	North America	1	0	0	1	0	0
27	Male	Native Hawaiian or Other Pacific Islander	North America	1	0	0	0	0	0
27	Female	White	North America	1	0	0	0	0	0
19	Male	n/a	Europe	1	0	0	1	0	0
25	Male	White	Europe	1	0	0	1	0	0
23	Male	White	North America	1	1	1	0	0	1
17	Other	White	North America	1	0	0	0	0	0
32	Female	White	North America	1	1	1	1	0	0
35	Male	White	North America	1	1	1	0	0	0
18	Other	Asian	Oceania	1	1	0	0	1	0
20	Female	White	Europe	1	0	0	0	0	0
24	Female	White	Europe	1	1	0	0	0	0
20	Male	White	North America	1	0	0	0	0	0
34	Male	White	North America	1	1	0	0	0	0
40	Male	White	North America	1	0	1	1	0	1
17	Female	White	Europe	0	0	0	0	0	0
18	Male	White	North America	0	0	0	0	0	0
17	Female	Asian	North America	1	0	0	0	0	0
16	Female	White	North America	1	1	0	0	0	0
28	Male	White	North America	0	0	0	0	0	0
31	Female	White	North America	1	0	0	0	0	0
44	Female	White	North America	1	0	0	0	0	0
22	Female	Asian	n/a	1	0	0	0	0	0
30	Female	White	North America	1	1	1	1	0	0
35	Female	White	North America	1	1	0	0	0	0
17	Male	White	North America	1	1	0	1	0	0
18	Male	White	North America	0	0	0	0	0	0
20	Female	American Indian or Alaska Native	North America	1	0	0	1	0	0
21	Female	White	Europe	1	0	0	1	0	0
19	Male	White	North America	1	1	0	0	0	0
22	Female	n/a	Europe	0	0	0	0	0	0
25	Female	White	North America	1	0	0	0	0	0
30	Male	White	North America	1	1	0	0	0	0
21	Female	White	n/a	1	0	1	0	0	0
26	Other	White	Europe	1	0	1	0	0	0
32	Male	n/a	Europe	1	1	0	1	0	0
20	Female	White	n/a	1	1	0	0	0	0
30	Female	White	North America	1	0	1	0	0	0
21	Female	Two or More Races	Europe	0	0	0	0	0	0
16	Female	White	n/a	1	0	0	1	0	0
17	Female	Black or African American	Oceania	1	0	0	0	0	0
51	Male	White	North America	0	1	0	0	0	0
16	Male	White	Europe	0	0	0	1	0	0
24	Other	White	North America	1	0	0	0	0	0
21	Female	Asian	n/a	1	0	0	0	0	0
28	Female	White	North America	1	0	0	0	0	0
28	Male	Asian	Asia	1	0	1	0	0	0
21	Male	White	Oceania	1	0	0	0	0	0
27	Male	White	North America	1	1	1	1	0	0
33	Female	White	Europe	1	0	1	1	0	0
43	Female	White	North America	1	1	1	1	0	1
40	Female	White	Europe	1	0	0	1	0	1
17	Male	Asian	North America	1	0	1	0	0	0
24	Male	n/a	Europe	1	1	1	1	0	0
17	Female	White	Europe	1	0	1	0	0	0
18	Male	White	Europe	1	0	1	1	0	0
20	Male	White	Europe	1	0	0	0	0	0
20	Female	White	Europe	1	0	1	1	0	0
42	Female	n/a	North America	1	0	0	1	0	0
41	Female	White	North America	1	1	1	1	0	0
18	Male	White	Oceania	1	0	0	0	0	0
16	Male	White	Europe	1	0	0	0	0	0
24	Female	White	Europe	1	0	0	1	0	0
24	Male	Two or More Races	North America	1	0	0	0	0	0
19	Male	White	Europe	1	0	0	0	0	0
25	Female	White	Europe	1	0	0	1	0	1
32	Female	White	North America	1	0	0	1	0	0
42	Female	White	Europe	1	0	0	1	0	1
27	Female	White	North America	1	0	0	1	0	0
36	Female	White	Oceania	1	0	0	1	0	0
23	Female	White	North America	1	0	0	0	0	0
19	Male	White	North America	1	1	1	0	0	0
20	Male	Asian	Oceania	1	0	1	1	0	0
21	Male	White	North America	1	0	0	0	0	0
17	Female	Asian	North America	1	0	0	1	0	0
20	Female	White	Europe	1	0	0	0	0	0
23	Male	White	North America	1	1	0	1	0	0
35	Female	White	North America	1	0	0	0	0	0
21	Male	Asian	Europe	1	0	0	1	0	0
44	Female	White	North America	1	1	0	1	0	1
22	Other	Asian	n/a	1	0	0	0	0	0
35	Male	White	Europe	1	0	0	0	0	0
24	Male	White	North America	1	0	0	1	1	0
41	Female	White	North America	1	0	0	1	0	0
18	Male	Two or More Races	North America	1	0	0	0	0	0
21	Female	White	North America	1	0	0	0	0	0
27	Female	White	North America	1	0	0	0	0	0
15	Male	Asian	North America	1	0	0	0	0	0
22	Male	White	Europe	1	0	0	0	0	0
31	Male	White	North America	0	0	0	0	0	0
29	Female	White	North America	1	0	0	0	0	0
29	Female	White	North America	1	1	1	0	0	0
65	Female	White	North America	0	0	0	0	0	0
21	Other	White	North America	0	0	0	0	0	0
22	Male	White	Europe	1	0	0	1	0	1
23	Female	White	North America	1	0	0	0	0	0
22	Female	White	North America	1	0	0	0	0	0
20	Other	n/a	n/a	1	0	1	0	0	0
76	Male	White	North America	1	0	0	1	0	1
27	Female	White	North America	1	0	1	1	0	0
14	Female	White	North America	1	0	0	0	0	0
15	Female	White	North America	1	1	0	0	0	0
33	Female	White	North America	1	0	1	1	0	0
18	Other	White	North America	0	0	0	0	0	0
40	Female	n/a	Oceania	1	0	0	1	1	0
19	Male	White	Europe	1	0	0	0	0	0
36	Female	White	North America	1	0	0	0	0	0
28	Female	White	North America	1	1	1	1	0	0
19	Female	White	North America	1	0	0	1	0	0
21	Female	Two or More Races	North America	0	0	0	0	0	0
29	Female	Asian	Oceania	1	0	0	1	0	0
19	Other	Asian	North America	1	0	0	0	0	0
26	Female	White	North America	0	0	0	0	0	0
13	Male	Asian	North America	1	1	1	1	0	0
29	Female	White	Europe	1	0	0	0	0	0
23	Other	Two or More Races	North America	1	1	0	1	0	0
30	Female	White	North America	1	1	1	1	1	0
14	Other	Two or More Races	North America	1	0	0	1	0	0
15	Male	White	North America	1	0	1	0	0	0
29	Female	White	North America	1	0	0	0	0	1
20	Male	White	Europe	0	0	0	0	0	0
18	Female	Two or More Races	Europe	1	0	0	1	0	0
19	Male	White	North America	0	0	0	0	0	0
29	Male	White	Europe	1	0	0	0	0	0
17	Female	Two or More Races	North America	1	1	0	1	1	0
20	Female	White	Europe	1	0	1	1	0	0
19	Male	White	Europe	1	0	0	0	0	0
17	Male	Asian	Europe	1	0	0	0	0	0
27	Male	Native Hawaiian or Other Pacific Islander	North America	1	0	0	0	0	0
30	Female	White	North America	1	1	0	1	0	0
44	Male	White	North America	0	0	0	0	0	0
24	Other	White	North America	1	0	0	0	0	0
17	Male	White	North America	1	0	0	0	0	0
23	Female	White	North America	0	1	0	0	0	0
20	Male	Asian	North America	1	0	0	0	0	0
24	Other	White	North America	1	0	0	0	0	0
20	Female	White	Europe	0	0	0	1	0	0
22	Female	White	Europe	1	0	0	0	0	0
23	Male	White	Europe	1	0	0	0	0	0
17	Male	White	Europe	1	0	0	0	0	0
18	Female	White	Europe	0	0	0	0	0	0
20	Female	Asian	North America	1	0	0	0	0	0
21	Female	Two or More Races	North America	1	0	0	0	0	0
27	Male	White	n/a	1	0	1	1	0	0
29	Female	White	n/a	1	0	0	1	0	0
21	Female	White	North America	1	0	0	0	0	0
21	Female	White	South America	1	0	0	1	0	0
21	Male	Asian	North America	1	1	0	0	0	0
17	Female	Asian	North America	1	0	0	0	0	0
27	Female	White	North America	1	1	1	1	0	0
40	Male	White	Europe	1	0	0	1	0	0
33	Male	Two or More Races	North America	1	0	1	0	0	0
21	Male	Two or More Races	North America	1	0	0	1	0	0
26	Female	White	Europe	1	0	0	1	0	0
21	Male	Asian	North America	1	0	1	1	0	0
41	Female	White	North America	1	0	0	0	0	0
26	Female	White	North America	1	0	0	0	0	0
21	Male	Two or More Races	North America	1	0	0	0	0	0
31	Female	Two or More Races	North America	1	1	0	0	0	0
25	Female	White	Oceania	1	0	0	0	0	0
26	Female	White	North America	1	0	0	0	0	0
20	Female	White	Europe	1	0	1	0	0	0
21	Female	Asian	North America	1	0	1	1	0	0
30	Female	White	North America	1	0	1	0	0	0
9	Male	White	North America	0	0	0	0	0	0
26	Male	White	Europe	1	0	1	0	0	0
25	Other	n/a	Europe	0	0	0	0	0	0
28	Male	White	Europe	1	0	0	1	0	0
24	Female	White	North America	1	0	0	0	0	0
33	Male	White	North America	1	1	1	1	0	0
24	Female	White	Europe	1	0	0	0	0	0
18	Female	Asian	Asia	1	0	0	0	0	1
28	Male	White	Europe	1	0	0	1	0	0
30	Female	White	n/a	1	0	0	0	0	0
34	Female	White	North America	1	1	1	0	0	0
14	Male	White	North America	0	0	0	0	0	0
16	Male	White	North America	0	0	0	0	0	0
19	Male	White	Europe	1	0	0	0	0	0
35	Female	White	Europe	1	0	0	0	0	0
19	Male	White	South America	1	0	0	1	1	0
17	Female	Asian	Europe	1	0	0	0	0	0
24	Female	White	Europe	1	0	0	1	0	0
21	Female	White	North America	1	0	0	1	0	1
17	Female	White	Europe	1	0	0	1	0	1
26	Male	White	Asia	1	0	1	1	0	0
19	Male	White	North America	1	1	0	0	0	0
25	Other	White	North America	1	0	0	1	1	1
42	Female	White	North America	1	0	0	1	0	1
33	Male	n/a	North America	1	1	0	1	0	0
